Customer_ID,Touchpoints,Conversion
266,"Search Ad, Email, Online Ad",0
267,"Online Ad, Email",1
268,"Email, Search Ad, Direct Visit, Online Ad",1
269,Social Media,0
270,"Email, Search Ad, Social Media",1
271,"Social Media, Search Ad, Direct Visit, Online Ad",1
272,"Online Ad, Search Ad",0
273,"Online Ad, Direct Visit",1
274,"Email, Direct Visit, Social Media, Online Ad",0
275,Search Ad,0
276,Direct Visit,0
277,"Social Media, Email, Online Ad, Direct Visit",0
278,"Search Ad, Social Media, Email, Direct Visit, Online Ad",1
279,"Social Media, Email",0
280,"Search Ad, Social Media",0
281,Direct Visit,1
282,"Email, Direct Visit, Online Ad, Search Ad, Social Media",0
283,"Online Ad, Direct Visit, Email",0
284,Direct Visit,0
285,Online Ad,1
286,"Social Media, Direct Visit, Email",0
287,"Online Ad, Social Media, Search Ad, Direct Visit, Email",1
288,"Direct Visit, Search Ad, Email",0
289,"Search Ad, Online Ad, Direct Visit",0
290,"Email, Online Ad, Direct Visit, Search Ad",0
291,"Direct Visit, Email, Social Media, Online Ad",0
292,"Email, Search Ad, Social Media, Direct Visit",1
293,"Search Ad, Online Ad, Direct Visit",1
294,"Search Ad, Online Ad",1
295,"Online Ad, Social Media, Email, Direct Visit",0
296,"Search Ad, Online Ad",0
297,"Social Media, Online Ad",1
298,Search Ad,1
299,Search Ad,0
300,"Online Ad, Search Ad",1
301,"Online Ad, Search Ad, Social Media",1
302,"Search Ad, Direct Visit, Email, Online Ad",0
303,"Search Ad, Email",1
304,"Social Media, Online Ad, Email, Search Ad",1
305,"Search Ad, Social Media, Email",0
306,"Direct Visit, Online Ad, Email, Search Ad, Social Media",1
307,"Search Ad, Email",0
308,"Search Ad, Direct Visit, Social Media, Online Ad, Email",1
309,"Email, Direct Visit, Online Ad",1
310,"Online Ad, Search Ad, Social Media",0
311,"Direct Visit, Social Media",0
312,Search Ad,0
313,"Search Ad, Direct Visit",0
314,"Direct Visit, Email, Online Ad",1
315,"Search Ad, Social Media, Email, Direct Visit",1
316,"Social Media, Search Ad, Online Ad, Direct Visit, Email",0
317,Social Media,0
318,"Social Media, Online Ad, Email, Search Ad, Direct Visit",1
319,"Direct Visit, Social Media, Online Ad, Search Ad, Email",1
320,"Social Media, Direct Visit",0
321,Direct Visit,0
322,"Online Ad, Search Ad, Social Media, Direct Visit",0
323,"Online Ad, Email, Social Media, Direct Visit, Search Ad",1
324,Online Ad,0
325,"Direct Visit, Search Ad",1
326,"Direct Visit, Email, Online Ad, Social Media",0
327,"Search Ad, Social Media, Online Ad",0
328,"Online Ad, Email, Social Media",1
329,"Search Ad, Social Media, Email, Online Ad",0
330,"Online Ad, Search Ad, Email, Direct Visit, Social Media",0
331,Search Ad,0
332,"Email, Online Ad, Search Ad, Social Media",1
333,"Social Media, Online Ad, Search Ad, Email",1
334,"Social Media, Direct Visit, Search Ad, Email, Online Ad",0
335,"Social Media, Direct Visit",0
336,Search Ad,0
337,Search Ad,1
338,"Social Media, Online Ad, Direct Visit, Email",0
339,Search Ad,0
340,"Online Ad, Social Media",1
341,"Online Ad, Search Ad, Social Media",0
342,"Direct Visit, Social Media, Search Ad, Email, Online Ad",1
343,"Social Media, Email, Search Ad, Direct Visit, Online Ad",0
344,"Search Ad, Social Media, Direct Visit, Email",0
345,"Social Media, Direct Visit, Online Ad",1
346,Search Ad,1
347,Search Ad,0
348,"Email, Search Ad, Direct Visit",0
349,"Search Ad, Online Ad, Direct Visit, Social Media",1
350,"Direct Visit, Online Ad, Search Ad",1
351,Social Media,1
352,"Email, Social Media, Online Ad",0
353,"Email, Online Ad",0
354,"Social Media, Email, Search Ad, Direct Visit, Online Ad",0
355,"Email, Social Media, Direct Visit, Search Ad",0
356,"Email, Direct Visit, Social Media, Online Ad",0
357,"Search Ad, Direct Visit, Social Media",1
358,"Email, Direct Visit",0
359,"Social Media, Direct Visit, Email",0
360,"Email, Search Ad, Direct Visit",0
361,"Email, Social Media, Direct Visit",0
362,"Email, Online Ad, Social Media, Direct Visit, Search Ad",0
363,Email,1
364,"Direct Visit, Online Ad, Email, Search Ad, Social Media",1
365,"Online Ad, Email, Social Media",1
366,Social Media,1
367,"Online Ad, Email, Direct Visit, Social Media, Search Ad",1
368,"Search Ad, Social Media",0
369,"Social Media, Search Ad",0
370,"Search Ad, Online Ad",1
371,Direct Visit,1
372,"Email, Social Media, Search Ad, Direct Visit",1
373,"Social Media, Search Ad, Direct Visit",1
374,"Social Media, Direct Visit",1
375,"Online Ad, Social Media, Direct Visit, Email",1
376,"Search Ad, Email",1
377,"Social Media, Search Ad, Email, Online Ad",1
378,"Search Ad, Email, Direct Visit",0
379,Email,0
380,"Search Ad, Social Media, Email, Direct Visit, Online Ad",0
381,"Direct Visit, Online Ad, Search Ad, Email",1
382,"Online Ad, Social Media",1
383,"Direct Visit, Email, Search Ad, Social Media, Online Ad",1
384,Direct Visit,1
385,"Social Media, Direct Visit, Search Ad, Email",0
386,"Social Media, Direct Visit, Search Ad, Email",0
387,"Online Ad, Search Ad, Direct Visit",1
388,Search Ad,0
389,"Direct Visit, Social Media, Search Ad, Email, Online Ad",1
390,"Email, Search Ad, Direct Visit, Social Media",1
391,Direct Visit,1
392,"Direct Visit, Email, Online Ad, Social Media",1
393,"Direct Visit, Social Media, Email, Search Ad, Online Ad",1
394,"Social Media, Online Ad, Direct Visit, Email",0
395,"Online Ad, Social Media, Search Ad",0
396,"Direct Visit, Email, Search Ad",0
397,"Social Media, Online Ad, Search Ad",0
398,"Email, Online Ad, Direct Visit, Social Media",1
399,Direct Visit,0
400,"Direct Visit, Social Media, Search Ad",0
401,"Social Media, Email",0
402,"Online Ad, Social Media, Email, Direct Visit, Search Ad",0
403,"Email, Search Ad, Social Media, Direct Visit",1
404,"Social Media, Search Ad",1
405,"Social Media, Email",1
406,"Social Media, Direct Visit, Search Ad, Online Ad, Email",1
407,Direct Visit,1
408,"Social Media, Online Ad, Direct Visit",0
409,"Online Ad, Social Media, Direct Visit, Search Ad, Email",1
410,"Online Ad, Direct Visit, Social Media, Search Ad",0
411,"Direct Visit, Email, Online Ad, Search Ad",0
412,"Email, Search Ad",1
413,"Search Ad, Email",1
414,"Search Ad, Social Media, Direct Visit",1
415,Email,1
416,Email,1
417,"Direct Visit, Online Ad, Email",0
418,"Online Ad, Search Ad, Direct Visit, Social Media",0
419,"Social Media, Email",1
420,"Social Media, Email, Online Ad, Direct Visit, Search Ad",0
421,"Social Media, Direct Visit, Online Ad, Search Ad, Email",0
422,Search Ad,1
423,"Direct Visit, Social Media",1
424,"Search Ad, Email, Social Media, Direct Visit",1
425,"Direct Visit, Online Ad, Email, Social Media, Search Ad",0
426,"Search Ad, Email, Social Media, Online Ad",0
427,"Direct Visit, Search Ad, Social Media, Email, Online Ad",1
428,"Online Ad, Social Media, Direct Visit, Email, Search Ad",1
429,Email,0
430,"Direct Visit, Search Ad, Online Ad, Email",0
431,"Direct Visit, Social Media, Email",0
432,"Social Media, Online Ad, Email",1
433,"Email, Social Media",1
434,"Search Ad, Social Media, Email, Online Ad, Direct Visit",0
435,"Search Ad, Direct Visit, Online Ad, Email, Social Media",1
436,"Online Ad, Search Ad, Email, Direct Visit, Social Media",0
437,"Direct Visit, Online Ad",1
438,"Social Media, Email, Search Ad",0
439,"Search Ad, Online Ad, Email",1
440,Online Ad,1
441,"Direct Visit, Social Media, Online Ad, Search Ad, Email",1
442,"Social Media, Online Ad",1
443,"Direct Visit, Online Ad",0
444,"Direct Visit, Social Media, Email",0
445,"Online Ad, Direct Visit, Email, Social Media",0
446,"Direct Visit, Online Ad, Social Media",1
447,"Online Ad, Email, Social Media, Search Ad",1
448,Direct Visit,1
449,"Online Ad, Social Media",1
450,"Online Ad, Direct Visit",0
451,"Email, Direct Visit",0
452,"Direct Visit, Search Ad, Online Ad, Email",0
453,"Search Ad, Online Ad, Social Media, Email",0
454,"Search Ad, Email, Direct Visit",0
455,"Online Ad, Direct Visit, Email, Social Media",0
456,Search Ad,1
457,Direct Visit,1
458,Online Ad,0
459,"Online Ad, Social Media",1
460,Social Media,0
461,"Email, Social Media, Search Ad",0
462,Direct Visit,1
463,"Email, Social Media, Search Ad, Online Ad, Direct Visit",0
464,"Social Media, Email, Online Ad, Search Ad",1
465,Search Ad,0
466,"Social Media, Search Ad",0
467,"Direct Visit, Search Ad, Email, Social Media",0
468,"Direct Visit, Email",0
469,"Online Ad, Email, Search Ad, Social Media, Direct Visit",1
470,"Direct Visit, Social Media, Online Ad",0
471,"Email, Online Ad, Search Ad, Direct Visit, Social Media",0
472,Social Media,1
473,"Social Media, Direct Visit, Email, Search Ad, Online Ad",1
474,"Search Ad, Email, Online Ad, Direct Visit",0
475,"Email, Direct Visit, Social Media, Search Ad",0
476,"Search Ad, Online Ad, Email, Social Media",1
477,"Direct Visit, Email, Online Ad",0
478,"Online Ad, Social Media, Direct Visit, Email, Search Ad",1
479,"Direct Visit, Email, Social Media, Search Ad",0
480,"Direct Visit, Search Ad, Email, Social Media, Online Ad",1
481,"Direct Visit, Search Ad, Email",0
482,"Direct Visit, Online Ad",1
483,"Direct Visit, Social Media, Online Ad",1
484,Social Media,1
485,"Search Ad, Email, Direct Visit",0
486,"Online Ad, Email",1
487,"Search Ad, Social Media, Direct Visit",0
488,"Social Media, Direct Visit, Search Ad, Email",1
489,"Direct Visit, Email",1
490,"Search Ad, Social Media, Online Ad",0
491,"Social Media, Direct Visit, Email",0
492,"Direct Visit, Social Media, Online Ad, Search Ad, Email",0
493,"Direct Visit, Online Ad",1
494,"Social Media, Email, Direct Visit, Online Ad, Search Ad",1
495,"Direct Visit, Social Media",0
496,Search Ad,0
497,"Online Ad, Search Ad, Social Media, Email",0
498,"Online Ad, Search Ad",0
499,"Direct Visit, Search Ad, Online Ad, Social Media",0
500,"Email, Social Media, Search Ad, Online Ad",0
